GO.ID	Term	Module1	Module2	Module3	Module4	Module5	Module6
1	GO:0005790	smooth endoplasmic reticulum	Hsp90b1,Map2,Calr,Hspa5,Pdia3	Rpl10,Gabarap		Plcb4,Canx	Ttyh1,Myo5a,Ryr2	Itpr1
2	GO:1990907	beta-catenin-TCF complex	Tle1,Tcf4,Ctnnb1			Tle4		
3	GO:0005844	polysome	Vim,Elavl4,Myh10,Dhx9,Calr,Msi2	Rpl7a,Rpl11,Btf3,Rpl17,Rpl10a,Rpl7,Rpl18,Rps4x,Rpl29,Rpl19,Rpl30,Eef2,Rpl8,Rps3	Rpl31,Rps29,Rps28,Rpl39,Rps26,Rps23,Rpl38,Rpl6,Rpl24,Rps25,Rpl18a,Rps6	Fxr1	Cpeb2	Impact
4	GO:0001669	acrosomal vesicle	Itgb1,Skil,Calr,Ctnna1,Pdia3		Slirp		Trip11	Rab3a,Slc2a3
5	GO:0005883	neurofilament	Nefm,Nrp1	Ina		Nefl		Pcp4,Nefh
6	GO:0030426	growth cone	Cnr1,Cxcr4,Elavl4,Map2,Myh10,Nrp1,Dcx,Palld	Tubb3,Dpysl3,Fscn1,Csnk1e,Cfl1,Dbn1,Arpc3,Crmp1	Rac3,Mapt,Fgf13	Apc,Erc2,Myo9a,Clasp2,Dscam,Flna,Kif5a,Olfm1,Nefl,Tmod2,Ppp1r9a,L1cam,Zfp804a	Gria2,Timp2,Epha4,Nptxr,Nptx2,Rapgef4,Pafah1b1,App	Thy1,Sncb,Rasgrf1,Eno2,Snap25,Nrsn1,Cbx6,Grin1,Crtac1,Clu,Eno1,Calm1,Aatk,Pink1,Pcdh9
7	GO:0022625	cytosolic large ribosomal subunit		Rps12,Rpl10,Rpl7a,Rpl9,Rpl11,Rpl17,Rpl21,Rpl10a,Rplp0,Rpl7,Rpl18,Rpl28,Rpl12,Rpl5,Rpl29,Rpl27a,Rpl19,Rpl30,Rpl23,Rpl22,Rpl8	Rpl23a,Rpl23a-ps3,Rpl31,Rpl27,Rpl36,Rpl36a,Rpl39,Rpl35,Rpl37,Rpl37a,Rpl38,Rpl6,Rplp2,Rpl24,Rpl18a,Rpl13,Rpl15,Rpl35a,Rpl34,Rpl32,Rplp1,Rpl26,Rpl3,Rpl14,Uba52,Rpl13a			
8	GO:0022627	cytosolic small ribosomal subunit		Rps12,Rpsa,Rps7,Rps13,Rps4x,Rps2,Rps10,Rps27a,Rps20,Rps3a1,Rps11,Rps5,Rps9,Rps27l,Rps24,Rps3	Rps27,Rps17,Rps29,Rps28,Fau,Gm9493,Rps18,Rps26,Rps19,Rps23,Rps16,Rps15a,Rps25,Rps8,Rps15,Rps6,Rps14,Uba52			
9	GO:1990124	messenger ribonucleoprotein complex		Ybx1,Hnrnpa3,Hspa8		Pabpc1	Cpeb2	
10	GO:0030027	lamellipodium	Myh10,Ctnnb1,Ctnna1	Tubb3,Dpysl3,Fscn1,Gsn,Cfl1,Dbn1,Arpc3,Evl		Apc,Ablim3,Ccdc88a,Rock1,Kitl,Ppp1r9a,Srcin1,Ablim1	Cdc42bpa,App	Snap25,Kcna2,Stx4a,Wasl,Sh3bp1,Wasf3
11	GO:0099523	presynaptic cytosol		Marcksl1,Hnrnpab,Hspa8		Ppfia2	Prkce	Sncb,Calb1,Sh3gl2,Prkcb
12	GO:0000788	nuclear nucleosome		H3f3a,Hist3h2a,H3f3b				
13	GO:0042788	polysomal ribosome	Elavl4,Dhx9	Rpl7a,Rpl11,Btf3,Rpl10a,Rpl18,Rpl29,Rpl19,Rpl30,Eef2,Rpl8	Rpl31,Rps29,Rps28,Rpl39,Rps26,Rps23,Rpl38,Rpl6,Rpl24,Rpl18a			
14	GO:0005747	mitochondrial respiratory chain complex I			Ndufa1,Ndufb4,Ndufs5,Ndufa5,Ndufa3,Ndufb2,Ndufv3,Ndufa2			Ndufs7,Ndufa6,Ndufa13,Ndufb3,Ndufa12
15	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex			Romo1,Pam16			Timm17a
