GO.ID	Term	Module1	Module2	Module3	Module4	Module5	Module6
1	GO:0001972	retinoic acid binding	Crabp1,Crabp2,Nr2f2	Fabp5				
2	GO:0035925	mRNA 3'-UTR AU-rich region binding	Hnrnpa0,Mex3d,Hnrnpd,Elavl4			Rbms3	Cpeb2	
3	GO:0061980	regulatory RNA binding	Mbd2,Matr3,Dhx9					
4	GO:1990841	promoter-specific chromatin binding	Chd7,Dhx9,Ezh2,Ddx5	Hdac2,Isl1		Pou4f2,Hnrnpu	Ppargc1a	Nfe2l1,Egr1
5	GO:0048027	mRNA 5'-UTR binding	Igf2bp2,Igf2bp1,Myh10	Rps7,Rps13,Rpl5	Rps14,Rpl26	Ncl		
6	GO:0043021	ribonucleoprotein complex binding	Ybx3,Dhx9,Ezh2,Top2b,Hspa5,Ddx5	Rpsa,Prmt1,Rbm3,Eef2,Snrpe,Eif5a,Eif1	Rpl35,Snrpg,Rpl35a,Rplp1,Xist	Hnrnpu	Uhmk1,Cpeb2	Impact
7	GO:0003735	structural constituent of ribosome		Rps12,Rpl10,Rpl9,Rpl11,Rpsa,Rps7,Rpl17,Rpl21,Rps13,Rpl10a,Rplp0,Rpl7,Rpl18,Rps4x,Rps2,Rpl28,Rpl12,Rpl5,Rpl29,Rps10,Rps27a,Rpl27a,Rpl19,Rps20,Rpl30,Rps3a1,Rps11,Rpl23,Rps5,Rps9,Rpl22,Rps27l,Rpl8,Rps24,Rps3	Rpl23a,Rps27,Rpl23a-ps3,Rpl31,Rps17,Rps29,Rpl27,Rpl36,Rps28,Rpl39,Rpl35,Rpl41,Fau,Rpl37,Rps18,Rpl37a,Rps26,Rps19,Rps23,Rpl38,Rpl6,Rps16,Rps15a,Rplp2,Rpl24,Rps25,Rps8,Rpl18a,Rpl13,Rpl15,Rpl35a,Rps15,Rps6,Rpl32,Rplp1,Mrpl52,Rps14,Gm2000,Mrpl23,Rpl26,Rpl3,Rpl14,Mrps21,Rpl13a			
8	GO:0055106	ubiquitin-protein transferase regulator activity		Rpl11,Rps7,Rpl5,Rpl23				
9	GO:0031492	nucleosomal DNA binding	H1fx	H3f3a,Hmgn1,H2afz,H3f3b			Hmgn3	
10	GO:0031005	filamin binding		Dpysl3,Dpysl4,Crmp1	Fblim1			
