Module1	Module2	Module3	Module4	Module5	Module6
1	Crabp1	Lmo2	Lgals7	Pcdha2	Ncam2	Aldoc
2	Sst	Igfbpl1	Gm17750	Pcdhga9	Dzank1	Mgarp
3	Ppp1r14b	Cnn3	Rpl23a	Add3	Plcb1	Pvalb
4	Onecut2	Ptma	Rps27	Taf9	Alcam	Fbxo2
5	Vim	Igfbp2	Rpl23a-ps3	Camk4	Nalcn	Faim2
6	Nhlh2	Rbp1	Rpl31	mt-Nd6	Gria3	Kcnip4
7	D930028M14Rik	Fam60a	Rps17	Dnm1l	Cadm2	Scn1b
8	Onecut3	Cotl1	Rps29	Gnal	Slc35f1	Cartpt
9	Hnrnpa0	H3f3a	Rpl27	Azin1	Cntn1	Thy1
10	Eya2	Clic1	Rpl36	Schip1	Sorl1	Pacsin1
11	Sox11	Csrp2	Rpl36a	Fam49a	Cdkl2	Dbp
12	Mex3d	Cdkn1c	Rps28	Plcb4	Scn2a1	Lynx1
13	H1fx	Traf4	Rpl39	Gng4	Nrxn3	Sncb
14	Eid2	Gng5	Rpl35	Tenm2	Plxna2	Chchd10
15	Cnr1	Tax1bp3	Rpl41	Fut9	Nptn	Mt1
16	Pou3f1	Ngfr	Igf1	Tsix	Rbfox1	Vsnl1
17	Ier5l	Hnrnpa1	Slc16a3	Ide	Nsf	Rasgrf1
18	Mbd2	Rps12	Fau	Adar	Cdk14	Ahnak2
19	Ube2m	Ddah2	S100a11	Apc	Gria2	Tuba4a
20	Peli2	Rpl10	Rpl37	Ccdc39	Slc17a6	Sptssb
21	Phc2	Tubb3	Dapl1	Gm20721	Grin2b	Scn2b
22	Crabp2	Erh	Fam131c	Gria1	Pcdh10	Nap1l5
23	Tbx5	Hmgn1	Sec61g	Lancl2	Adarb1	Scg2
24	Hmx1	Rcor2	Gm9493	Flrt2	Syne1	Tusc5
25	Tpt1	Pnoc	Rps18	Phf10	Sorcs1	Atp1b1
26	Alyref	Carhsp1	Isl2	Kcnq3	Ppfibp1	Pcp4l1
27	3632451O06Rik	Pou2f2	Rpl37a	Gm26735	Efr3a	Atp6v1g2
28	Insm1	Cd24a	Rps26	Pagr1a	Ttyh1	Vamp1
29	Nes	Rpl7a	Spint2	Erc2	Cdc42bpa	Cygb
30	Igf2bp2	Gal	Zfand4	Fam19a2	Dock9	Sparcl1
31	Igf2bp1	Rpl9	Gm5914	Dzip1	Nrip3	Klf9
